index,company,total_filings,avg_salary
1542,ROBLOX CORPORATION,351.0,$179136
1543,SLACK TECHNOLOGIES INC,351.0,$141439
1544,INFINITY METHODS CORP,351.0,$72288
1545,VERITIS GROUP INC,351.0,$78481
1546,ADVANCED TECHNOLOGY CONSULTING SERVICE INC,350.0,$80277
1547,IT KEYSOURCE INC,350.0,$81314
1548,THUMBTACK INC,350.0,$132861
1549,BTREE SOLUTIONS INC,350.0,$78592
1550,VALUE CONSULTING LLC,350.0,$69489
1551,VISUAL BI SOLUTIONS INC,349.0,$89734
1552,CLEVELAND CLINIC,349.0,$190092
1553,NBCUNIVERSAL MEDIA LLC,349.0,$122859
1554,OPEL SYSTEMS INC,349.0,$67341
1555,TE CONNECTIVITY CORPORATION,349.0,$97055
1556,SSA TECH INC,349.0,$86584
1557,CONOCOPHILLIPS COMPANY,349.0,$124943
1558,PIONEER GLOBAL INC,349.0,$73361
1559,BLACKROCK INVESTMENT MANAGEMENT LLC,349.0,$94842
1560,THE BLACKSTONE GROUP,349.0,$127074
1561,MEDICAL UNIVERSITY OF SOUTH CAROLINA,348.0,$94386
1562,IT & EBUSINESS CONSULTING SERVICES INC,348.0,$84476
1563,TRIESTEN TECHNOLOGIES LLC,348.0,$70993
1564,IBLESOFT INC DUNS#791327054,348.0,$70119
1565,UNIVERSITY OF NEVADA RENO,348.0,$77559
1566,DATAFORMIX TECHNOLOGIES INC,347.0,$71323
1567,POLAR IT SERVICES INC,347.0,$90944
1568,GLOBAL EDGE SOFTWARE INC,347.0,$92899
1569,BURNS & MCDONNELL ENGINEERING COMPANY INC,347.0,$98822
1570,GREENBYTE TECHNOLOGIES LLC,347.0,$73844
1571,PORTAL CONSULTING INC,346.0,$68917
1572,BNS INTERNATIONAL INC,346.0,$78469
1573,NATIONSTAR MORTGAGE LLC,346.0,$102372
1574,WISE EQUATION SOLUTIONS INC,346.0,$81759
1575,AMERICAN INSTITUTES FOR RESEARCH,346.0,$68522
1576,THE HUNTINGTON NATIONAL BANK,346.0,$98318
1577,TNP SYSTEMS LLC,346.0,$79747
1578,THE UNIVERSITY OF TEXAS AT DALLAS,345.0,$93544
1579,CRUISE LLC,345.0,$178171
1580,HOMEAWAYCOM INC,345.0,$107425
1581,EDUCATIONAL TESTING SERVICE,344.0,$105045
1582,GLASSDOOR INC,344.0,$145854
1583,SATURN TECH LLC,344.0,$82894
1584,CYGTEC INC,344.0,$79035
1585,OLIVER WYMAN INC,344.0,$129060
1586,STAT9 TECHNOLOGIES INC,344.0,$77646
1587,ELITE IT SOLUTIONS INC,343.0,$64546
1588,MORGAN STANLEY SMITH BARNEY LLC,343.0,$110980
1589,9TO9 SOFTWARE SOLUTIONS LLC,343.0,$76503
1590,COFORGE LIMITED F/K/A NIIT TECHNOLOGIES LIMITED,343.0,$84832
1591,TECHNOMAX LLC,343.0,$75068
1592,THORNTON TOMASETTI INC,342.0,$73487
1593,STRATEGIC STAFFING IT INC,342.0,$69072
1594,ZENDESK INC,342.0,$145593
1595,LUCID TECHNOLOGIESLLC,342.0,$69155
1596,TECHNICAL STRATEGIES INC,342.0,$82694
1597,UNITED HEALTHCARE SERVICES INC,341.0,$99064
1598,MPRSOFT INC,341.0,$80812
1599,SEL ENGINEERING SERVICES INC,340.0,$89494
1600,EUREKA INFOTECH INC,340.0,$83533
1601,INTERNATIONAL TECHNOLOGIES PRO LLC,340.0,$70771
1602,HIGHPOINT SOLUTIONS LLC,340.0,$107405
1603,RELIANT VISION GROUP INC,340.0,$69376
1604,MAGNUS TECHNOLOGY SOLUTIONS INC,340.0,$62347
1605,LENMAR CONSULTING INC,339.0,$73057
1606,LAWRENCE LIVERMORE NATIONAL SECURITY LLC,339.0,$115520
1607,PAYCOM PAYROLL LLC,339.0,$84339
1608,SRISHTI I2I BIZ SOLUTIONS INC,339.0,$83068
1609,AOL INC,338.0,$94149
1610,MILLENNIUM PHARMACEUTICALS INC,338.0,$120015
1611,STRATEGIC IT EXPERTS INC,338.0,$81663
1612,TREDENCE INC,338.0,$112800
1613,PANASONIC CORPORATION OF NORTH AMERICA,338.0,$102286
1614,KANAP SYSTEMS LLC,338.0,$87325
1615,COMPREHENSIVE HEALTH MANAGEMENT INC,338.0,$90118
1616,EPIC SYSTEMS CORPORATION,338.0,$85400
1617,GEORGE MASON UNIVERSITY,337.0,$81690
1618,CLASSROOM SUPPORT SERVICES LLC,337.0,$72062
1619,ITECHSTACK INC,337.0,$80355
1620,AFFIRM INC,337.0,$154487
1621,IT DIVISION INC,337.0,$65139
1622,NAM TECHNOLOGIES INC,337.0,$77769
1623,BAANYAN SOFTWARE SERVICES INC,337.0,$85631
1624,VCARVE INC,337.0,$77649
1625,CWC INTERNATIONAL INC,337.0,$76829
1626,TITAN DATA GROUP INC,336.0,$99397
1627,VECTOR SYSTEMS INC,336.0,$69711
1628,EPSILON DATA MANAGEMENT LLC,335.0,$121797
1629,ANU SOFTWARE CONSULTANTS INC,335.0,$91532
1630,GRAINGER MANAGEMENT LLC,335.0,$112602
1631,NEXTGEN TECHNOLOGIES INC,335.0,$96724
1632,OPERA TECHNOLOGIES INC,335.0,$72741
1633,ZUME IT INC,335.0,$78429
1634,INTERPRO INC,334.0,$88142
1635,SAVIN TECHNOLOGIES INC,334.0,$87581
1636,ASTIR TECHNOLOGIES LLC,334.0,$86073
1637,VERILY LIFE SCIENCES LLC,334.0,$137799
1638,CIGNEX DATAMATICS INC,334.0,$92580
1639,MAIMONIDES MEDICAL CENTER,333.0,$99647
1640,PIONEER CONSULTING LLC,332.0,$87451
1641,CHILDREN'S NATIONAL MEDICAL CENTER,332.0,$90221
1642,MEDICAL SCIENCE & COMPUTING LLC,332.0,$99957
1643,AUTOZONE INC,332.0,$97642
1644,BATTELLE,331.0,$79691
1645,TRUSTEK INC,331.0,$84732
1646,CEDENT CONSULTING INC,331.0,$66818
1647,TRINET USA INC,331.0,$118532
1648,ESSENTIAL TECHNOLOGIES INC,331.0,$69045
1649,GM CRUISE LLC,330.0,$145243
1650,MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA INC,330.0,$124794
1651,NEXTGEN SOLUTIONS INC,330.0,$75266
1652,ADIENT US LLC,330.0,$89338
1653,IQ SPECTRA INC,329.0,$78532
1654,AUTOLIV ASP INC,329.0,$94272
1655,THOUGHTWAVE SOFTWARE AND SOLUTIONS INC,329.0,$85514
1656,HINDSIGHT SOFTWARE SOLUTIONS INC,329.0,$82016
1657,DATAMATICS GLOBAL SERVICES INC,328.0,$81180
1658,PRESBYTERIAN HEALTHCARE SERVICES,328.0,$227727
1659,CHAGS HEALTH INFORMATION TECHNOLOGY LLC,328.0,$87998
1660,ZYNGA INC,328.0,$120015
1661,KEY BUSINESS SOLUTIONS INC,328.0,$70526
1662,INFO KEYS INC,328.0,$77734
1663,INFOVILLE INC,328.0,$90093
1664,SELECTIVA SYSTEMS INC,328.0,$99796
1665,INFOBAHN SOFTWORLD INC,328.0,$88012
1666,SANFORD CLINIC NORTH,327.0,$247863
1667,MASTECH RESOURCING INC,327.0,$79088
1668,RESOURCE INFORMATICS GROUP INC,327.0,$80260
1669,CITADEL INFORMATION SERVICES INC,327.0,$69259
1670,ETEST IT INC,327.0,$74070
1671,CAREER SOFT SOLUTIONS INC,326.0,$90214
1672,RAAS INFOTEK LLC,326.0,$85258
1673,ALCATEL-LUCENT USA INC (DBA NOKIA),326.0,$113972
1674,TORQUE TECHNOLOGIES LLC,326.0,$84884
1675,FLUOR ENTERPRISES INC,325.0,$104489
1676,VLINK INC,325.0,$80590
1677,TEXAS A&M AGRILIFE RESEARCH,325.0,$48957
1678,THE UNIVERSITY OF TOLEDO,324.0,$110052
1679,ELI LILLY AND COMPANY,324.0,$116304
1680,SAVANNAH CHATHAM COUNTY PUBLIC SCHOOL SYSTEM,324.0,$57358
1681,CLOUDFLARE INC,324.0,$139985
1682,NEXUS IT INC,324.0,$77888
1683,NATIONAL MEDICAL CARE INC A FRESENIUS MEDICAL CARE NA COMPANY,324.0,$115175
1684,APEX TECHNOLOGY SYSTEMS INC,324.0,$72357
1685,BOFAML SECURITIES INC,324.0,$159192
1686,FAIR ISAAC CORPORATION,324.0,$111993
1687,PAYPAL DATA SERVICES INC,323.0,$120152
1688,CORPSYSTEMS LLC,323.0,$76828
1689,THE CAPITAL MARKETS COMPANY,323.0,$110832
1690,GLOBAL TECHNOLOGY ASSOCIATES LLC,323.0,$87815
1691,AVNET INC,323.0,$109500
1692,CAPITAL INFO GROUP INC,323.0,$90846
1693,AMAZONCOMDEDC LLC,323.0,$102300
1694,SAVIYNT INC,322.0,$98113
1695,ERP AND ERP CORP,322.0,$66656
1696,KOLLASOFT INC,322.0,$85632
1697,ARGUS INFORMATION AND ADVISORY SERVICES LLC,322.0,$93518
1698,EALEARN INC,322.0,$68419
1699,ANJS TECHNOLOGIES LLC,322.0,$83672
1700,GATEWAY GROUP TECHNOLOGIES INC,322.0,$61223
1701,OTIS IT INC,322.0,$79205
1702,TEKGENCE INC,321.0,$84658
1703,CYGNUS PROFESSIONALS INC,321.0,$77101
1704,KOHLER COMPANY,320.0,$81855
1705,BYTEWARE INC,320.0,$94059
1706,SUPERLOGIX INC,320.0,$68588
1707,THE JACKSON LABORATORY,320.0,$74754
1708,NATIONAL UNION FIRE INSURANCE COMPANY OF PITTSBURGH PA,320.0,$102710
1709,NETSKOPE INC,319.0,$147010
1710,RS SOFTWARE (INDIA) LTD,319.0,$71354
1711,NETROVERT SOFTWARE INC,319.0,$101395
1712,COMPEST SOLUTIONS INC,319.0,$77180
1713,VARNAR INC,319.0,$74245
1714,S&R PROFESSIONALSLP,319.0,$72153
1715,MASSACHUSETTS GENERAL PHYSICIAN'S ORGANIZATION,319.0,$128050
1716,GEISINGER CLINIC,319.0,$228483
1717,INVOLGIXS INC,319.0,$69146
1718,BSASPEC INC,319.0,$73155
1719,ROOTSHELL ENTERPRISE TECHNOLOGIES INC,318.0,$81087
1720,VIASAT INC,318.0,$114551
1721,SAT SOLUTIONS LLC,318.0,$66367
1722,THE GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,318.0,$106526
1723,NINFO SYSTEMS INC,318.0,$90698
1724,IDRIL SERVICES CORPORATION,318.0,$68225
1725,DASSAULT SYSTEMES SIMULIA CORP,318.0,$98678
1726,DATAMETRICS SOFTWARE SYSTEMS INC,317.0,$73963
1727,WEB YOGA INC,317.0,$73201
1728,KIRKLAND & ELLIS LLP,317.0,$209509
1729,BLUE CROSS AND BLUE SHIELD OF FLORIDA INC,316.0,$106331
1730,UNIVERSITY OF DELAWARE,316.0,$79501
1731,ROUSH MANAGEMENT LLC,316.0,$83329
1732,MEDICAL MANAGEMENT INTERNATIONAL INC,316.0,$104787
1733,DARTMOUTH COLLEGE,316.0,$73744
1734,IM FLASH TECHNOLOGIES LLC,316.0,$89584
1735,PEPSICO INC,316.0,$126167
1736,CSG SYSTEMS INC,315.0,$84250
1737,EATON CORPORATION,315.0,$102981
1738,SIERRA INFOSYS INC,315.0,$63868
1739,EMINENT SOFTWARE SERVICES,315.0,$85155
1740,MAANTIC INC,315.0,$100289
1741,ZUORA INC,314.0,$133184
1742,BOSE CORPORATION,314.0,$96236
1743,CLEARLITE INC,314.0,$70748
1744,STEM XPERT LLC,314.0,$64696
1745,THE OHIO UNIVERSITY,314.0,$66960
1746,DIGIPULSE TECHNOLOGIES INC,314.0,$99808
1747,CARESOFT GLOBAL INC,314.0,$71700
1748,SLASHSUPPORT INC,313.0,$85536
1749,MUTEX SYSTEMS INC,313.0,$84739
1750,APPSBOAT INC,313.0,$76373
1751,NEUTRONIT INC,313.0,$85523
1752,THE SALK INSTITUTE FOR BIOLOGICAL STUDIES,312.0,$60276
1753,FORSYS INC,312.0,$91275
1754,KENSINGTON INFORMATION GROUP INC,312.0,$79035
1755,SUN SOFT TECHNOLOGIES INC,312.0,$70542
1756,MOUNT SINAI MEDICAL CENTER,311.0,$78762
1757,SOFTWARE PROGRAMMING GROUP LLC,311.0,$74926
1758,IMG SYSTEMS INC,311.0,$78643
1759,AVANADE INC,310.0,$136378
1760,HSBC TECHNOLOGY & SERVICES (USA) INC,310.0,$123769
1761,EMINENCE IT SOLUTIONS INC,310.0,$79635
1762,DEERE & COMPANY,310.0,$96156
1763,DYNPRO INC,309.0,$82774
1764,APEX TECHNOLOGY GROUP INC,309.0,$77389
1765,M9 CONSULTING INC,309.0,$90852
1766,FIRST DATA TECHNOLOGIES INC,309.0,$106727
1767,STREAMLINE TECHNOLOGIES INC,309.0,$78147
1768,MYGO CONSULTING INC,308.0,$83354
1769,IMPERIO INC,308.0,$75365
1770,KRYPTO IT SOLUTIONS INC,308.0,$74035
1771,PRINCIPLE INFORMATION TECHNOLOGY COMPANY,308.0,$75385
1772,INFI SYSTEMS LLC,308.0,$68668
1773,SKILLTUNE TECHNOLOGIES INC,308.0,$89532
1774,JSMN INTERNATIONAL INC,308.0,$99396
1775,ITEAM INC,308.0,$75102
1776,INFOSOFT INC,307.0,$78934
1777,NORTECH NORTH AMERICA INC,307.0,$85017
1778,MACHINE ZONE INC,307.0,$115882
1779,HERMITAGE INFO TECH LLC,306.0,$80781
1780,COVANT SOLUTIONS INC,306.0,$79954
1781,DW MATRIX INC,306.0,$77065
1782,DOCMATION LLC,306.0,$84964
1783,ST LUKE'S-ROOSEVELT HOSPITAL CENTER,306.0,$76107
1784,PRAXAIR INC,306.0,$99528
1785,IFLOWSOFT SOLUTIONS INC,305.0,$79832
1786,AMERICAN FAMILY MUTUAL INSURANCE COMPANY,305.0,$108328
1787,HORIZONSOFTSOLUTIONS INC,305.0,$93600
1788,JOHN HANCOCK LIFE INSURANCE COMPANY (USA),305.0,$109617
1789,WENOVA INC,305.0,$78583
1790,ONETRUST LLC,305.0,$109773
1791,SWIFT TECHNOLOGIES INC,304.0,$67325
1792,SOURCE MANTRA INC,304.0,$74181
1793,ATHENAHEALTH INC,304.0,$119865
1794,PRONIX INC,304.0,$84419
1795,SUPER MICRO COMPUTER INC,304.0,$95541
1796,GANNU SOFTWARE INC,303.0,$80045
1797,SECURONIX INC,303.0,$92111
1798,MIAMI UNIVERSITY,303.0,$64322
1799,BAYSTATE MEDICAL PRACTICES INC,303.0,$221594
1800,DR TECHNOLOGIES INC,303.0,$69631
1801,INFORMATION RESOURCES INC,303.0,$77451
1802,THOUGHT BYTE INC,303.0,$80772
1803,CSAA INSURANCE SERVICES INC,303.0,$106404
1804,CASPEX CORP,303.0,$93554
1805,ASTA CRS INC,303.0,$81152
1806,AMAZON ROBOTICS LLC,303.0,$113073
1807,GALAXY SOFTWARE SOLUTIONS INC,302.0,$69586
1808,L&T TECHNOLOGY SERVICES LLC,302.0,$86952
1809,ILOGIC INC,302.0,$73232
1810,LERA TECHNOLOGIES LLC,302.0,$69912
1811,CIMPRESS USA INCORPORATED,302.0,$99367
1812,EBS-MINDS IT INC,301.0,$69719
1813,NUANCE COMMUNICATIONS INC,301.0,$104374
1814,AVAYA INC,301.0,$104351
1815,RAMSAI SOFTWARE SOLUTIONS INC,301.0,$82124
1816,SMITH & NEPHEW INC,301.0,$92461
1817,COMPUSOFT INTEGRATED SOLUTIONS INC,301.0,$78968
1818,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,300.0,$115335
1819,CDK GLOBAL LLC,300.0,$100056
1820,LUCID USA INC,300.0,$137439
1821,TRADEWEB MARKETS LLC,300.0,$129649
1822,VORTALSOFT INC,300.0,$73925
1823,GLOBAL SUMI TECHNOLOGIES INC,299.0,$78288
1824,PROSOFT TECHNOLOGIES INC,299.0,$60088
1825,COGNIER INC,299.0,$89904
1826,TEKMARK GLOBAL SOLUTIONS LLC,299.0,$86912
1827,TOWER RESEARCH CAPITAL LLC,299.0,$139169
1828,STAIDLOGIC LLC,299.0,$100016
1829,URPAN TECHNOLOGIES INC,299.0,$91316
1830,CHANGE HEALTHCARE TECHNOLOGIES LLC,298.0,$112687
1831,BECHTEL OIL GAS AND CHEMICALS INC,298.0,$112859
1832,COMPREHENSIVE RESOURCES INC,298.0,$79569
1833,VERTIV INC,298.0,$80128
1834,DELTA DENTAL OF CALIFORNIA,298.0,$120209
1835,GALAXY I TECHNOLOGIES INC,297.0,$87055
1836,ALPHAVISTA SERVICES INC,297.0,$67757
1837,OBJECTS ON NET INC,297.0,$78581
1838,I5 TECH INC,297.0,$94854
1839,ASPEN TECHNOLOGY INC,297.0,$94149
1840,CENTAURUS TECHNOLOGY PARTNERS LLC,297.0,$81513
1841,HOUZZ INC,297.0,$135177
1842,AMNEAL PHARMACEUTICALS LLC,297.0,$88708
1843,GEMINI CONSULTING & SERVICES LLC,297.0,$81507
1844,SVS TECHNOLOGIES LIMITED,297.0,$75004
1845,CLOUD SOURCE INC,296.0,$71692
1846,EBATES PERFORMANCE MARKETING INC,296.0,$127635
1847,ALLIED BUSINESS CONSULTING INC,296.0,$81815
1848,MAXLINEAR INC,296.0,$115309
1849,ARCUS TECHNOLOGIES DBA KAT TECH SYSTEMS INC,296.0,$71917
1850,FINSOFT CONSULTANTS INC,296.0,$83881
1851,OPENBOX SOLUTIONS INC,296.0,$79465
1852,BETH ISRAEL DEACONESS MEDICAL CENTER,296.0,$53704
1853,COGENT INTEGRATED BUSINESS SOLUTIONS INC,296.0,$68848
1854,PARAMOUNT GLOBAL SOLUTIONS INC,296.0,$76842
1855,ZSCALER INC,296.0,$133145
1856,SANS SOLUTIONS ENTERPRISE INC,296.0,$73110
1857,FUTURETECH CONSULTANTS LLC,295.0,$69871
1858,MEDICAL COLLEGE OF WISCONSIN,295.0,$135066
1859,SPECTRA GROUP INC,295.0,$71487
1860,SOHANIT INC,295.0,$77995
1861,ACTIVISION PUBLISHING INC,295.0,$119892
1862,SYNAPSE DESIGN AUTOMATION INC,295.0,$123739
1863,G3 INFOTEK INC,294.0,$68114
1864,ECOLAB USA INC,294.0,$113665
1865,VENSOFT SOLUTIONS INC,294.0,$79859
1866,TECHNOZANT LLC,294.0,$70612
1867,PANDORA MEDIA INC,293.0,$128059
1868,CAREFUSION RESOURCES LLC,293.0,$101111
1869,ZIFO TECHNOLOGIES INC,293.0,$77555
1870,FOCUS IT INC,293.0,$78195
1871,SIEMENS INDUSTRY SOFTWARE INC,293.0,$101145
1872,MARGIN5 SOLUTIONS INC,293.0,$70617
1873,MINTEX TECH INC,292.0,$76653
1874,BMC SOFTWARE INC,292.0,$107464
1875,POSITIVE GROUP LLC,292.0,$81951
1876,PRODWARE SOLUTIONS LLC,292.0,$71024
1877,PIORION SOLUTIONS INC,292.0,$78282
1878,PIONEER CORPORATE SERVICES INC,292.0,$76320
1879,DW PRACTICE LLC,291.0,$71699
1880,EXZAC INC,291.0,$107138
1881,METRIX IT SOLUTIONS INC,291.0,$87359
1882,HEALTH CARE SERVICE CORPORATION,291.0,$98424
1883,RACAR ENGINEERING LLC,291.0,$84334
1884,AKUNA CAPITAL LLC,291.0,$111478
1885,ANAGH TECHNOLOGIES INC,291.0,$84041
1886,TEKCOMMANDS INC,290.0,$71098
1887,ITRENDING SOLUTIONS LLC,290.0,$79393
1888,CDM SMITH INC,290.0,$81992
1889,GEODIS LOGISTICS LLC,290.0,$95540
1890,DOLBY LABORATORIES INC,290.0,$120437
1891,ACXIOM CORPORATION,290.0,$93359
1892,LPL FINANCIAL LLC,290.0,$105825
1893,SUNTECHPROS INC,289.0,$75068
1894,CNH INDUSTRIAL AMERICA LLC,289.0,$91382
1895,CIRRUS LOGIC INC,289.0,$107532
1896,AXWAY INC,289.0,$100962
1897,TITAN TECHNOLOGIES INC,289.0,$87410
1898,CITY GURUS INC,289.0,$79717
1899,CONGENSYS CORP,288.0,$86021
1900,TECH MAHINDRA TECHNOLOGIES INC,288.0,$88402
1901,BI1 SOLUTIONS INC,287.0,$63993
1902,A10 NETWORKS INC,287.0,$116863
1903,INTELIROUTE TECHNOLOGIES LLC,287.0,$84616
1904,HARMONIA HOLDINGS GROUP LLC,287.0,$95793
1905,TECHNOLOGY CONSULTANTS INC,287.0,$84143
1906,WAVE ERA INC,287.0,$72183
1907,DATABOSS INTERNATIONAL CORP,287.0,$74169
1908,BB&T CORPORATION,287.0,$100106
1909,DROISYS INC,287.0,$80346
1910,KNOWLEDGE RESOURCES GROUP INC,286.0,$52751
1911,JONES LANG LASALLE AMERICAS INC,286.0,$94613
1912,THE PRINCIPAL CONSULTING INC,286.0,$87348
1913,MPOWER LOGIC INC,286.0,$78588
1914,SV IT INC,286.0,$84866
1915,ASM AMERICA INC,285.0,$93628
1916,BLACKHAWK NETWORK INC,285.0,$121062
1917,HSBC SECURITIES (USA) INC,285.0,$134938
1918,ECOM SOLUTIONS INC,285.0,$90319
1919,BIG PEACH IT SERVICES LLC,285.0,$82730
1920,PROFESSIONAL ACCESS LTD,285.0,$108991
1921,ST JUDE MEDICAL CARDIOLOGY DIVISION,285.0,$97355
1922,MITCHELL INTERNATIONAL INC,285.0,$93782
1923,TSQ SYSTEMS INC,284.0,$78668
1924,CRA INTERNATIONAL INC,284.0,$95878
1925,W3GLOBAL INC,284.0,$88824
1926,ACI WORLDWIDE CORP,284.0,$103842
1927,ADITI TECHNOLOGIES PVT LTD,284.0,$79396
1928,SRIVEN TECHNOLOGIES LLC,284.0,$77670
1929,STANSOURCE INC,284.0,$90979
1930,STELLENT SOLUTIONS INC,284.0,$68684
1931,QUORA INC,283.0,$127772
1932,GROUP HEALTH PLAN INC,283.0,$116043
1933,KMK CONSULTING INC,283.0,$85400
1934,WHITE & CASE LLP,283.0,$209344
1935,QUALTRICS LLC,283.0,$151887
1936,IHS GLOBAL INC,283.0,$89988
1937,MIRACLE SOFTTECH LLC,283.0,$75911
1938,EVEREST TECHNOLOGIES INC,283.0,$93562
1939,YAHOO HOLDINGS INC,283.0,$128487
1940,SMART INFORMATION MANAGEMENT SYSTEMS INC,283.0,$84257
1941,ACCION LABS US INC,283.0,$96844
1942,SYNCHRONY BANK,283.0,$113440
1943,CITADEL ENTERPRISE AMERICAS LLC,282.0,$165193
1944,AA SOLUTIONS INC,282.0,$74588
1945,ELC MANAGEMENT LLC,282.0,$121943
1946,MOLABS MEDIA LLC,282.0,$72016
1947,PROS INC,281.0,$103720
1948,THE NEW YORK TIMES COMPANY,281.0,$125050
1949,AVANI SYSTEMS INC,281.0,$88484
1950,HNTB CORPORATION,281.0,$94720
1951,MACYSCOM LLC,281.0,$141722
1952,UNITY TECHNOLOGIES SF,281.0,$123803
1953,QUEST DIAGNOSTICS INCORPORATED,281.0,$98830
1954,PRABHAV SERVICES INC,280.0,$75768
1955,JAVEN TECHNOLOGIES INC,280.0,$87233
1956,CLAIRVOYANT TECHNOSOLUTIONS INC,280.0,$62694
1957,BAKER HUGHES INCORPORATED,280.0,$101728
1958,KENT STATE UNIVERSITY,280.0,$63518
1959,MORLOGIC INC,280.0,$73548
1960,PRODIGY TECHNOLOGIES INC,280.0,$85195
1961,PROTECH SOLUTIONS INC,280.0,$72724
1962,WHATSAPP INC,279.0,$161175
1963,UNIVERSAL SOFTWARE CORPORATION,279.0,$70500
1964,VENSIT CORP,279.0,$78880
1965,TRIVENI GROUP LLP,279.0,$83200
1966,STRYKER CORPORATION,279.0,$104584
1967,INGRAM MICRO INC,279.0,$108054
1968,CEREBRA CONSULTING INC,279.0,$81276
1969,IKON TECH SERVICES LLC,278.0,$84413
1970,CONCEPT SOFTWARE & SERVICES INC,278.0,$84890
1971,ZULILY LLC,278.0,$133811
1972,QUICKEN LOANS LLC,278.0,$88276
1973,THE UNIVERSITY OF TEXAS AT ARLINGTON,278.0,$66792
1974,QUALITY SOFTWARE SERVICES INC,278.0,$96931
1975,KEYMOUZ TECHNOLOGIES INC,277.0,$69833
1976,MEDIMMUNE LLC,277.0,$95511
1977,WEATHERFORD INTERNATIONAL LLC,277.0,$114180
1978,CUMMINS FILTRATION INC,277.0,$72949
1979,TT TECHNOLOGIES INC,277.0,$86454
1980,COMPROBASE INC,277.0,$78389
1981,HEWLETT-PACKARD COMPANY,277.0,$102569
1982,GB TECH INC,277.0,$73505
1983,GYANSYS INC,277.0,$91033
1984,AUTOMOTIVE ROBOTICS INC,277.0,$72104
1985,EASTERN MAINE MEDICAL CENTER,276.0,$298649
1986,GENISYS TECHNOLOGIES INC,276.0,$81833
1987,ROYAL TECHNOCRATS INC,276.0,$87540
1988,PARAMOUNT SOFTWARE SOLUTIONS INC,276.0,$87171
1989,ADVENTIST HEALTH SYSTEM/SUNBELT INC,276.0,$71393
1990,EARLY WARNING SERVICES LLC,276.0,$103213
1991,MAGNA ELECTRONICS INC,276.0,$103797
1992,ADVITHRI TECHNOLOGIES LLC,276.0,$83671
1993,TECHMINDS GROUP LLC,275.0,$72127
1994,HORIZON SOFTECH INC,275.0,$77929
1995,NYSE MARKET (DE) INC,275.0,$114085
1996,RISK MANAGEMENT SOLUTIONS INC,275.0,$116647
1997,INCANDESCENT TECHNOLOGIES INC,275.0,$85588
1998,DATAQUAD INC,275.0,$89346
1999,SUNRISE INFOTEK CORP,274.0,$79106
2000,8X8 INC,274.0,$132952
